title,channel,views,likes,comments,engagement_score
Tu Mo Suna Chadhei - Video | New Odia Song | Rupa & Pintu | Humane Sagar & LP Ananya ,Saregama Odia,705187,51470,3115,7.298773233199138
"The Devil - Official Trailer | Darshan, Rachana Rai | Prakash Veer | B Ajaneesh Loknath",Saregama Kannada,5356369,386718,42112,7.219778921131087
Long Slide Game with Cow Elephant Gorilla Hippopotamus Tiger 3d Animal Game Funny 3d Animals,kuly luly,1836911,153689,7224,8.366709111110989
"Sasirekha Song Promo | Mana Shankara Varaprasad Garu |Chiranjeevi, Nayanthara| Bheems|Anil Ravipudi",T-Series Telugu,121008,10873,418,8.985356340076688
"Vaa Vaathiyaar - Trailer | Karthi, Krithi Shetty | Nalan Kumarasamy|Santhosh Narayanan| Studio Green",Think Music India,219326,17944,505,8.181428558401649
Doorbin and Carry Survive The AIRPLANE CRASH ON THE ISLAND in Minecraft!,Carry Depie,780256,11613,596,1.4883576672271666
Shaky ( Official #Video ) Sanju Rathod Ft. Isha Malviya | G-Spark | New #Marathi Songs 2025,ManishSamratVEVO,778273,1638,28,0.21046599329541177
Devil Trailer Review | Darshan Devil Trailer Review | The Devil Movie Trailer | D Boss,Newz Alert,107509,9894,1093,9.202950450659944
GTA 5 today,Mrz Thoppi,194532,9545,178,4.906647749470524
Video | मटन खाके बटन खोले | Chandan Chanchal | Matan Khake Batan Khole | New Bhojpuri Song 2025,Moons Music Bhojpuri,763551,3353,63,0.43913242206479985
Akhanda 2 Thaandavam Trailer | Nandamuri Balakrishna | Boyapati Sreenu | Thaman S,MS Talkies,1415421,17141,297,1.211017781988539
60K UC PORSCHE OPENING | ULTIMATE LEGEND RANK PUSH | BGMI LIVE,LoLzZz Gaming,508041,36441,64,7.172846286028096
Titli : Sabba | Gur Sidhu (Official Video) New Punjabi Song 2025,Speed Records,674687,15062,1118,2.232442599309013
Pharma | Hotstar Specials | Official Trailer | December 19 | JioHotstar,JioHotstar Malayalam,110180,3697,213,3.3554184062443273
Stealing Villagers Emerald with Doorbin in Minecraft..,Karry Kraft,425811,6208,282,1.4579238206622187
वंदना भीमाला| VANDANA BHIMALA I MAHAMANVALA SHRADDHANJALI GEETE | MAHAPARI NIRVAN GEETE | 6 DECEMBER,T-Series Bhakti Marathi,51684,476,25,0.9209813481928644
"G.O.A.T - Official Teaser | Sudheer Anand, Divya Bharathi | Leon James | Mogulla Chandrashekar",Saregama Telugu,1994466,64054,1825,3.2115864597340846
2025 GC League | Group Red Day 3 | WATCHPARTY WITH SNAX,Snax Gaming,1789158,70521,128,3.941574751922413
"Solid Body (Official Video ) Aryan Chauhan,Anjali Raghav | Ashu Twinkle | Aaru Records New Song 2025",Dabble Voice Music,272967,971,14,0.3557206548776959
Salman Khan Battle of Galwan TEASER | Deeksha Sharma,Filmi Indian,433449,14564,1729,3.3600262083889914
